year,songName,songURI,artistName,artistURI,albumName,albumURI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,mode,key,time_signature,popularity
1980,Call Me,spotify:track:0vLwL4xuJ3s7SeaCdvMqkY,Blondie,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,Best Of Blondie,spotify:album:7mEjsBlRmfP63cH1gdPT6A,0.0336,0.551,0.628,0.000194,0.151,-13.799,0.036,142.167,0.777,212893,1,2,4,61
1980,"Another Brick in the Wall, Pt. 2",spotify:track:4gMgiXfqyzZLMhsksGmbQV,Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,The Wall,spotify:album:5Dbax7G8SWrP9xyzkOvy2F,0.0781,0.694,0.394,0.000677,0.247,-15.881,0.0428,104.126,0.719,238747,1,0,4,77
1980,Magic,spotify:track:56BSwBKWHYldQOgYLHiehs,Olivia Newton-John,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,Xanadu,spotify:album:0dWzFLXRM8F1IsEYdKopAa,0.0178,0.697,0.611,8.92e-05,0.11,-5.997,0.0265,103.77,0.603,271667,1,2,4,40
1980,Rock with You - Single Version,spotify:track:7oOOI85fVQvVnK5ynNMdW7,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Off the Wall,spotify:album:2ZytN2cY4Zjrr9ukb2rqTP,0.179,0.808,0.535,9.91e-05,0.158,-12.521,0.0353,114.031,0.848,220627,1,1,4,73
1980,Do That To Me One More Time,spotify:track:2gFnSurc2aUja58m4Jq41f,Captain & Tennille,spotify:artist:7BEfMxbaqx6dOpbtlEqScm,The Ultimate Collection: Captain & Tennille,spotify:album:7p1ppQ3fqvosArcx4C6jpp,0.637,0.686,0.442,0.00183,0.0975,-12.025,0.0258,90.009,0.493,254773,1,7,4,36
1980,Crazy Little Thing Called Love - Remastered 2011,spotify:track:35ItUJlMtjOQW3SSiTCrrw,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,The Game (Deluxe Remastered Version),spotify:album:6wPXUmYJ9mOWrKlLzZ5cCa,0.714,0.599,0.762,4.43e-06,0.35,-6.887,0.0423,76.961,0.715,163373,1,0,4,66
1980,Coming Up - Remastered 2011,spotify:track:1p2qCWx9dM74mPIv8Vnm2f,Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB,McCartney II (Special Edition),spotify:album:1mODksGrJUHVAIIbPXB43v,0.457,0.817,0.767,0.0723,0.0606,-7.194,0.0468,128.93,0.878,231880,1,8,4,20
1980,Funkytown - Single Version,spotify:track:2KpCU62k43lqJTW695F3kk,Lipps Inc.,spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,80's Pop Number 1's,spotify:album:3bl2ynZYqr4l37MQ2Wense,0.00128,0.925,0.58,0.458,0.112,-8.987,0.0547,122.671,0.218,245413,1,0,4,0
1980,It's Still Rock and Roll to Me,spotify:track:7LbOQt7isddrw3Bs3Czl7E,Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,The Essential Billy Joel,spotify:album:7r36rel1M4gyBavfcJP6Yz,0.0958,0.745,0.655,1.99e-06,0.0895,-7.589,0.166,141.429,0.582,177267,1,5,4,58
1980,The Rose,spotify:track:5iUzEn2QzBW0KEWNQO1KQC,Bette Midler,spotify:artist:13y0kncDD4J9wxCyfKr10W,Jackpot - The Best Bette,spotify:album:7fMaW2J2rb9EdcHG2TMZup,0.94,0.258,0.0971,0,0.122,-13.002,0.0302,65.346,0.0767,215027,1,0,3,43
1980,Escape (The Pina Colada Song),spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,Rupert Holmes,spotify:artist:0TqIPD4IS1w4e30R38B3vj,Partners In Crime,spotify:album:163iYwl7Kdm9ayTnD4VyfN,0.467,0.836,0.509,4.1e-06,0.0436,-13.668,0.0548,138.713,0.949,276493,1,0,4,70
1980,Cars,spotify:track:6HZ67VImxqr8aMBEEhblzf,Gary Numan,spotify:artist:5KQMtyPE8DCQNUzoNqlEsE,The Pleasure Principle,spotify:album:6wHjdKs7VVPVcqaHRzwqJt,0.0114,0.546,0.578,6.54e-05,0.0692,-8.745,0.0406,128.037,0.819,238907,1,2,4,63
1980,Cruisin',spotify:track:3rpp2A5bFoZETJn3MHigBh,Smokey Robinson,spotify:artist:0h9smro0z3HqUbD94jotU8,The Definitive Collection,spotify:album:66zRIsqJIvHuna6xwCtlZU,0.216,0.473,0.62,0,0.352,-6.908,0.029,168.914,0.673,353520,1,4,4,43
1980,"Working My Way Back to You / Forgive Me, Girl",spotify:track:1wouF9mtyiwZDYiq5YElaq,The Spinners,spotify:artist:5fbhwqYYh4YwUoEs582mq5,Smooth And Sweet,spotify:album:2KurzyFucko12doXylecYi,0.415,0.837,0.703,2.73e-05,0.153,-9.385,0.0415,121.556,0.914,245480,0,9,4,43
1980,Lost In Love,spotify:track:6MhK1gPrgtgRedEjSUz18I,Air Supply,spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW,Ultimate Air Supply,spotify:album:5PXeBHFjvr8EykHfFxJMje,0.37,0.59,0.589,1.22e-06,0.162,-9.859,0.03,114.471,0.501,231133,1,7,4,58
1980,Little Jeannie,spotify:track:4MUPC5d9OyzHh19qilbBjQ,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,The Greatest Hits 1970-2002,spotify:album:6CPTYd8BQRbF6VzhnTWIfL,0.364,0.618,0.548,1.37e-05,0.0978,-10.674,0.0266,143.602,0.746,304893,1,10,4,1
1980,Ride Like the Wind,spotify:track:7gUMShP1l20tC0xf17Zplk,Christopher Cross,spotify:artist:695W5F2Ih8dYahLdjVOIoH,Christopher Cross,spotify:album:2m2nl8cBT7bEgIA6LLmgah,0.347,0.669,0.707,0.000716,0.0997,-13.66,0.0478,124.335,0.806,275507,0,0,4,65
1980,Upside Down,spotify:track:3pbtBomO4Zt5gGiqsYeiBH,Diana Ross,spotify:artist:3MdG05syQeRYPPcClLaUGl,Diana,spotify:album:3zgDLoVcpVGfFbDZJf3uHI,0.178,0.873,0.855,0.0282,0.0377,-8.559,0.0615,107.868,0.884,245600,0,5,4,57
1980,Please Don't Go,spotify:track:6dw6BquK0Mv72p6HpusqKN,KC & The Sunshine Band,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,Do You Wanna Go Party,spotify:album:1VyflnFsIEfcxPj4JgM5QR,0.00888,0.482,0.615,1.78e-06,0.0431,-11.093,0.0398,96.307,0.437,230533,1,6,4,48
1980,Babe,spotify:track:5W7YROOF6bFfBexY81LFjt,Styx,spotify:artist:4salDzkGmfycRqNUbyBphh,Cornerstone,spotify:album:0RhPpU4BvtF44qdvFnGQuh,0.527,0.267,0.204,0,0.0924,-13.714,0.0317,169.486,0.0903,265973,1,2,4,63
